redirect_clients,type,value
8,read_latency,34139.365991902836
8,update_latency,65365.67351778656
8,throughput,19.934614464556255
8,read_latency,34525.96286631875
8,update_latency,65525.11917098446
8,throughput,19.617036218933972
8,read_latency,35538.84241442171
8,update_latency,65570.73888998617
8,throughput,19.99072430392298
8,read_latency,35530.00923138671
8,update_latency,64247.36814829579
8,throughput,19.79053695684871
8,read_latency,34887.817219336794
8,update_latency,65711.6720064077
8,throughput,19.81072830180456
8,read_latency,34481.12890783597
8,update_latency,65554.70693732756
8,throughput,19.677098808551666
8,read_latency,34504.05203574975
8,update_latency,66821.53494461229
8,throughput,19.940616843041422
8,read_latency,34449.79483101392
8,update_latency,65682.72032193159
8,throughput,19.790967798116295
8,read_latency,34678.58740283037
8,update_latency,66132.83825005018
2,throughput,48.23056525257865
2,read_latency,15534.913616075895
2,update_latency,25875.34930151688
2,throughput,47.00790014769882
2,read_latency,16165.222865441236
2,update_latency,26385.300229228666
2,throughput,53.294052064025344
2,read_latency,13133.794841523932
2,update_latency,24356.887693906923
2,throughput,47.3087920551507
2,read_latency,15778.62942855432
2,update_latency,26484.60598408786
2,throughput,46.501721958764136
2,read_latency,16834.436164449526
2,update_latency,26104.033512091068
2,throughput,46.864550669717865
2,read_latency,16203.649510394092
2,update_latency,26398.42793636871
2,throughput,48.39631549170898
2,read_latency,15290.64862267777
2,update_latency,26001.858335997444
2,throughput,47.006905784528804
2,read_latency,15931.00100536867
2,update_latency,26515.62677303201
2,throughput,53.567487534845654
2,read_latency,13297.760131565832
2,update_latency,24053.08979632788
2,throughput,48.61380174999964
2,read_latency,15519.896179435082
2,update_latency,25627.17986666131
2,throughput,46.982126589581526
2,read_latency,16190.238659525998
2,update_latency,26344.860562872815
2,throughput,46.86716439595255
2,read_latency,16234.048290786679
2,update_latency,26367.055575518025
2,throughput,46.92872605872379
2,read_latency,16129.680344103232
2,update_latency,26458.3410976707
2,throughput,47.3557047996901
2,read_latency,15751.537431189014
2,update_latency,26495.552504981784
2,throughput,48.06181133432084
2,read_latency,15500.684599852057
2,update_latency,26084.108601268483
2,throughput,47.09596839672137
2,read_latency,16107.530446037435
2,update_latency,26367.593732422658
2,throughput,46.493182007324535
2,read_latency,17095.66294006664
2,update_latency,25862.418231097294
2,throughput,46.48399695436852
2,read_latency,16970.915716121777
2,update_latency,25981.267329296472
2,throughput,53.33612103459274
2,read_latency,13269.325815633896
2,update_latency,24235.363402527983
2,throughput,47.23493760500917
2,read_latency,15809.471877998081
2,update_latency,26494.343739993597
2,throughput,46.523442697540865
2,read_latency,17058.80385679317
2,update_latency,25946.015477075838
2,throughput,53.206489063406174
2,read_latency,13140.297969927811
2,update_latency,24447.50140409997
2,throughput,46.8804571782184
2,read_latency,16173.147429213122
2,update_latency,26409.49982047395
2,throughput,47.34579474651061
2,read_latency,15748.447266482968
2,update_latency,26476.20535678513
2,throughput,46.48244125781486
2,read_latency,17009.049478384495
2,update_latency,25954.90575121357
16,throughput,10.761204566194321
16,read_latency,78427.03357314148
16,update_latency,106944.1347077662
16,throughput,10.822089182672537
16,read_latency,77001.95858223815
16,update_latency,107548.10445962234
16,throughput,10.783461620581747
16,read_latency,75170.94445562488
16,update_latency,109774.8537070165
16,throughput,10.898030398965995
16,read_latency,75579.08037495014
16,update_latency,107724.40393100682
16,throughput,10.829437443213138
16,read_latency,76136.13107092054
16,update_latency,107584.3002559559
16,throughput,10.928209314549926
16,read_latency,74093.43211564759
16,update_latency,109201.34398688794
16,throughput,10.873985728981129
16,read_latency,75320.95420301348
16,update_latency,108390.21125907991
16,throughput,11.223042252509472
16,read_latency,72034.00325137167
16,update_latency,105229.68773380587
16,throughput,10.736756211213468
16,read_latency,76892.58277878605
16,update_latency,108833.81888514184
16,throughput,10.95524235734905
16,read_latency,74327.55261550988
16,update_latency,107345.62846471398
16,throughput,10.924699324962829
16,read_latency,74245.28828468613
16,update_latency,108410.80192076831
16,throughput,10.751659249813727
16,read_latency,74642.35641960308
16,update_latency,110610.07862504938
16,throughput,10.894183704262131
16,read_latency,74447.20352211327
16,update_latency,108743.15530681591
16,throughput,11.582412338512215
16,read_latency,69374.36234738085
16,update_latency,103655.2584315319
16,throughput,10.889485874703398
16,read_latency,74744.3672339553
16,update_latency,107574.72672262347
16,throughput,10.912598813582257
16,read_latency,74366.8197984588
16,update_latency,108986.29945333063
16,throughput,10.82095326105658
16,read_latency,76013.71569595262
16,update_latency,109031.40283687944
16,throughput,11.281168458304238
16,read_latency,71805.25480283114
16,update_latency,104828.83442136498
16,throughput,10.79168910438693
16,read_latency,75686.99060563662
16,update_latency,109198.49549729838
16,throughput,10.908646629664537
16,read_latency,73889.71537535127
16,update_latency,108836.12694300518
16,throughput,10.866021949364338
16,read_latency,74056.20658135283
16,update_latency,109269.0468780776
16,throughput,11.244913082444329
16,read_latency,71257.75717395607
16,update_latency,106675.9777643016
16,throughput,11.114581330393156
16,read_latency,73918.49320732428
16,update_latency,105970.2154033733
16,throughput,10.984255168641269
16,read_latency,73877.24431137725
16,update_latency,107696.30160320642
16,throughput,10.869069020762096
16,read_latency,76562.50419832068
16,update_latency,107100.24909963986
1,throughput,64.2581429525203
1,read_latency,13747.602956832654
1,update_latency,17314.548419857816
1,throughput,59.44695310586551
1,read_latency,15704.256716596525
1,update_latency,17916.463449852596
1,throughput,60.20752329128039
1,read_latency,14910.400573499543
1,update_latency,18283.52026837009
1,throughput,59.45677908358077
1,read_latency,15469.411052568074
1,update_latency,18141.73964673589
1,throughput,60.143104502854094
1,read_latency,14863.342842375207
1,update_latency,18374.183109644444
1,throughput,59.693260213069124
1,read_latency,15207.529282033804
1,update_latency,18273.316122339045
1,throughput,60.146323976971175
1,read_latency,15153.507060538877
1,update_latency,18080.555244026997
1,throughput,59.648681197483064
1,read_latency,15286.306690515907
1,update_latency,18197.325975757816
1,throughput,64.20743624843655
1,read_latency,13874.959180813581
1,update_latency,17235.738231297953
1,throughput,60.355238864911094
1,read_latency,14824.366673334667
1,update_latency,18297.169446110776
1,throughput,59.45706189361229
1,read_latency,15402.044176384401
1,update_latency,18178.321143153236
1,throughput,59.89569763214339
1,read_latency,15117.191872272828
1,update_latency,18241.091726511368
1,throughput,59.99336473386043
1,read_latency,15220.715694578896
1,update_latency,18061.966578070453
1,throughput,59.64039229064433
1,read_latency,15303.202963673037
1,update_latency,18213.947843852024
1,throughput,60.163440001107006
1,read_latency,15076.659207161125
1,update_latency,18133.63148622678
1,throughput,64.59622835541879
1,read_latency,13678.085766423357
1,update_latency,17256.49511290194
1,throughput,59.71903388935735
1,read_latency,15348.12995251965
1,update_latency,18122.833620724225
1,throughput,59.73480137581195
1,read_latency,15462.83319327731
1,update_latency,17992.497760895643
1,throughput,59.741974412512356
1,read_latency,15267.255066821848
1,update_latency,18172.668779651558
1,throughput,60.23929457376482
1,read_latency,15100.950407431877
1,update_latency,18077.156174455078
1,throughput,60.27324271854023
1,read_latency,15206.433462054063
1,update_latency,17939.88844685232
1,throughput,59.65138537359961
1,read_latency,15529.600362976407
1,update_latency,17941.725748859353
1,throughput,59.44910888758233
1,read_latency,15611.195776850886
1,update_latency,17994.566025692173
1,throughput,59.458193160642956
1,read_latency,15482.79168665068
1,update_latency,18127.03184547638
1,throughput,64.82343393065968
1,read_latency,13688.574756855867
1,update_latency,17136.469713391136
8,throughput,19.697408411975236
8,read_latency,35926.36743718593
8,update_latency,65008.018507462686
8,throughput,19.59808252360589
8,read_latency,35114.81763527054
8,update_latency,66339.87005988024
8,throughput,19.787639057633477
8,read_latency,35455.52434903598
8,update_latency,65588.81163211913
8,throughput,19.83210142929955
8,read_latency,35343.08226065969
8,update_latency,65040.792561654736
8,throughput,19.855136921024208
8,read_latency,35052.10737721217
8,update_latency,65665.64292898813
8,throughput,19.68054538727377
8,read_latency,34934.10786878648
8,update_latency,66130.67799642218
8,throughput,20.03502121708747
8,read_latency,32754.715953307394
8,update_latency,65893.07934336526
8,throughput,21.183254213878843
8,read_latency,31176.619543452143
8,update_latency,62937.50019976029
8,throughput,20.11372298978424
8,read_latency,33629.15344341522
8,update_latency,65386.6922924116
8,throughput,20.038554178238932
8,read_latency,34011.71509054326
8,update_latency,65377.97554671968
8,throughput,19.609650301106182
8,read_latency,36697.14935451837
8,update_latency,65128.29808660624
8,throughput,19.574796275307765
8,read_latency,36729.37014925373
8,update_latency,65266.492864321604
8,throughput,19.86886548778065
8,read_latency,34275.62757654593
8,update_latency,66040.36677993204
8,throughput,21.014804930073236
8,read_latency,31568.54755784062
8,update_latency,63724.77604693506
8,throughput,19.82997777059492
8,read_latency,35334.95769612711
8,update_latency,65381.89788519638
8,throughput,19.69865005151197
8,read_latency,35120.22711589203
8,update_latency,65779.25468164794
8,throughput,19.599158020171455
8,read_latency,35413.36733879018
8,update_latency,66462.26267281106
8,throughput,20.78038663987382
8,read_latency,32183.156125696103
8,update_latency,63994.29827031376
8,throughput,19.737647193503946
8,read_latency,35547.17322360498
8,update_latency,65468.66440813073
8,throughput,19.808726932737486
8,read_latency,34975.16091724826
8,update_latency,65738.79057171514
8,throughput,19.947776720545612
8,read_latency,33557.95450107401
8,update_latency,67007.21951219512
8,throughput,21.576276452514932
8,read_latency,30908.858765915767
8,update_latency,62111.79775280899
8,throughput,19.596853529197354
8,read_latency,35548.76285140562
8,update_latency,66138.36314741036
8,throughput,19.68457438013275
8,read_latency,34983.78153784542
8,update_latency,66145.85677187375
8,throughput,19.795865039710506
8,read_latency,35618.49077197857
8,update_latency,65190.209030437414
2,throughput,52.87880125872699
2,read_latency,13333.958514452836
2,update_latency,24446.42764432197
2,throughput,46.48289499188641
2,read_latency,16940.07910867959
2,update_latency,26055.97073141415
2,throughput,47.17766684735713
2,read_latency,16050.120980337191
2,update_latency,26296.399676375404
2,throughput,46.480323949265795
2,read_latency,17030.165163178575
2,update_latency,25940.240841248306
2,throughput,47.005381176037034
2,read_latency,16021.341957972314
2,update_latency,26540.165056732603
2,throughput,46.85482314178457
2,read_latency,16245.771242222356
2,update_latency,26406.752304216567
2,throughput,48.18940363203535
2,read_latency,15420.565182639277
2,update_latency,26040.865942028984
2,throughput,46.88874426316214
2,read_latency,16169.716548520166
2,update_latency,26435.861631576845
2,throughput,52.66564530425207
2,read_latency,13407.782318765348
2,update_latency,24575.80524111955
2,throughput,47.074707089403816
2,read_latency,15905.00074057765
2,update_latency,26529.004296648614
2,throughput,46.48006470025006
2,read_latency,16853.104233553353
2,update_latency,26169.850380117547
2,throughput,46.84444132148169
2,read_latency,16284.594337363822
2,update_latency,26393.472334709917
2,throughput,48.257797012263275
2,read_latency,15445.187360818538
2,update_latency,25929.33356594557
2,throughput,46.896000615275526
2,read_latency,16219.945035213375
2,update_latency,26414.882109990576
2,throughput,48.10761481002543
2,read_latency,15203.580903132704
2,update_latency,26307.229289320854
2,throughput,52.35363624798242
2,read_latency,13503.034031151901
2,update_latency,24679.258667253485
2,throughput,46.909925905772035
2,read_latency,16196.521050644731
2,update_latency,26494.454267249188
2,throughput,46.97294593179058
2,read_latency,16076.27668395858
2,update_latency,26438.200926647096
2,throughput,46.85888493660227
2,read_latency,16206.4181944998
2,update_latency,26469.416599759134
2,throughput,47.154041407849924
2,read_latency,16016.444273589615
2,update_latency,26388.50752128192
2,throughput,47.94843050402431
2,read_latency,15599.099417787593
2,update_latency,26033.52954771867
2,throughput,46.92652385674083
2,read_latency,16097.627256353811
2,update_latency,26481.404797121726
2,throughput,46.482268409069995
2,read_latency,17089.264950083027
2,update_latency,25905.6764700002
2,throughput,46.50619857867756
2,read_latency,16856.07344418242
2,update_latency,26127.35545014211
2,throughput,52.608597296970274
2,read_latency,13272.507359289973
2,update_latency,24655.48835634176
